,0
1376,0
1377,1
1378,0
1379,0
1380,0
1381,2
1382,2
1383,0
1384,0
1385,3
1386,1
1387,0
1388,3
1389,2
1390,2
1391,0
1392,0
1393,0
1394,1
1395,1
1396,1
1397,0
1398,0
1399,0
1400,1
1401,3
1402,0
1403,0
1404,0
1405,5
1406,0
1407,0
1408,1
1409,1
1410,4
1411,1
1412,0
1413,1
1414,0
1415,0
1416,1
1417,0
1418,1
1419,2
1420,1
1421,2
1422,1
1423,3
1424,1
1425,0
1426,1
1427,0
1428,0
1429,1
1430,0
1431,0
1432,0
1433,1
1434,0
1435,1
1436,2
1437,1
1438,1
1439,1
1440,1
1441,2
1442,0
1443,0
1444,2
1445,1
1446,0
1447,0
1448,0
1449,1
1450,0
1451,0
1452,0
1453,1
1454,0
1455,0
1456,0
1457,1
1458,4
1459,0
1460,2
1461,0
1462,0
1463,1
1464,0
1465,0
1466,1
1467,0
1468,0
1469,1
1470,0
1471,0
1472,1
1473,0
1474,3
1475,1
1476,0
1477,2
1478,4
1479,0
1480,0
1481,1
1482,0
1483,0
1484,1
1485,0
1486,1
1487,2
1488,1
1489,0
1490,0
1491,4
1492,0
1493,0
1494,1
1495,1
1496,2
1497,1
1498,4
1499,0
1500,0
1501,0
1502,1
1503,2
1504,2
1505,0
1506,1
1507,1
1508,0
1509,0
1510,1
1511,15
1512,2
1513,0
1514,1
1515,1
1516,2
1517,1
1518,1
1519,4
1520,2
1521,3
1522,0
1523,1
1524,0
1525,1
1526,1
1527,0
1528,1
1529,1
1530,2
1531,0
1532,0
1533,1
1534,0
1535,0
1536,2
1537,0
1538,2
