,0
1329,2
1330,0
1331,0
1332,3
1333,1
1334,1
1335,1
1336,1
1337,2
1338,0
1339,0
1340,2
1341,3
1342,1
1343,2
1344,0
1345,1
1346,1
1347,3
1348,4
1349,2
1350,1
1351,1
1352,2
1353,4
1354,1
1355,3
1356,1
1357,0
1358,1
1359,1
1360,2
1361,1
1362,2
1363,1
1364,0
1365,0
1366,1
1367,3
1368,0
1369,0
1370,1
1371,4
1372,2
1373,1
1374,1
1375,1
1376,3
1377,5
1378,1
1379,1
1380,0
1381,0
1382,2
1383,0
1384,0
1385,3
1386,4
1387,1
1388,1
1389,2
1390,3
1391,1
1392,1
1393,0
1394,2
1395,3
1396,1
1397,4
1398,2
1399,4
1400,2
1401,2
1402,1
1403,2
1404,0
1405,1
1406,1
1407,1
1408,1
1409,0
1410,2
1411,2
1412,0
1413,2
1414,0
1415,3
1416,1
1417,3
1418,0
1419,8
1420,4
1421,5
1422,2
1423,1
1424,1
1425,4
1426,1
1427,4
1428,0
1429,1
1430,1
1431,3
1432,1
1433,7
1434,2
1435,3
1436,2
1437,2
1438,2
1439,1
1440,5
1441,1
1442,2
1443,1
1444,2
1445,1
1446,0
1447,1
1448,3
1449,3
1450,2
1451,0
1452,0
1453,2
1454,0
1455,1
1456,0
1457,1
1458,3
1459,1
1460,4
1461,1
1462,5
1463,4
1464,3
1465,1
1466,3
1467,3
1468,0
1469,2
1470,0
1471,0
1472,2
1473,1
1474,1
1475,3
1476,0
1477,1
1478,1
1479,0
1480,3
1481,3
1482,3
1483,1
1484,1
1485,0
1486,9
1487,4
1488,0
1489,2
1490,0
1491,1
1492,0
1493,1
1494,1
1495,8
1496,1
1497,4
1498,0
1499,5
1500,1
1501,1
1502,4
1503,1
1504,4
1505,1
1506,1
1507,3
1508,1
1509,0
1510,1
1511,1
1512,2
1513,1
1514,1
1515,1
1516,6
1517,3
1518,1
1519,1
1520,1
1521,1
1522,2
1523,2
1524,2
1525,4
1526,4
1527,1
1528,1
1529,1
1530,1
1531,2
1532,1
1533,4
1534,2
1535,4
1536,1
1537,0
1538,4
