,covid,covid19,litcovid,thcovid,healthcare,healthcares,innovation,innovationand,innovations,20policy,policy,policymaker,policymakers,policymaking
148,1,0,0,0,0,0,2,0,0,0,1,0,0,1
149,1,0,0,0,0,0,1,0,0,0,3,0,0,0
150,1,0,0,0,0,0,2,0,0,0,1,0,0,0
151,1,0,0,0,0,0,1,0,0,0,1,0,0,0
152,1,0,0,0,0,0,0,0,1,0,0,0,0,0
153,1,0,0,0,0,0,1,0,0,0,1,0,0,0
154,1,0,0,0,1,0,1,0,0,0,1,0,0,0
155,6,0,0,0,2,0,1,0,1,0,2,0,0,0
156,3,0,0,0,0,0,1,0,0,0,1,0,0,0
157,1,0,0,0,0,0,1,0,0,0,1,0,0,0
158,1,0,0,0,0,0,0,0,1,0,2,0,0,0
159,1,0,0,0,0,0,6,0,0,0,0,0,0,0
160,1,0,0,0,0,0,1,0,0,0,0,0,1,0
161,2,0,0,0,0,0,2,0,0,0,0,0,0,0
162,1,0,0,0,0,0,2,0,0,0,0,0,0,0
163,1,0,0,0,0,0,2,0,2,0,0,0,0,0
164,5,0,0,0,0,0,1,0,0,0,1,0,0,0
165,2,0,0,0,0,0,1,0,0,0,1,0,0,0
166,3,0,0,0,0,0,1,0,0,0,1,0,1,0
167,3,0,0,0,0,0,2,0,4,0,1,0,0,0
168,3,0,0,0,0,0,0,0,0,0,1,0,0,0
169,5,0,0,0,0,0,2,0,0,0,0,0,0,0
170,1,0,0,0,0,0,2,0,1,0,1,0,0,0
171,2,0,0,0,0,0,2,0,0,0,0,0,0,0
172,6,0,0,0,0,0,0,0,4,0,3,0,0,0
173,3,0,0,0,0,0,0,0,1,0,0,0,0,0
174,1,0,0,0,0,0,1,0,0,0,1,0,2,0
175,1,0,0,0,0,0,8,0,1,0,1,0,0,0
176,2,0,0,0,0,0,0,0,1,0,1,0,0,0
177,1,0,0,0,2,0,9,0,1,0,0,0,0,0
178,1,0,0,0,0,0,0,0,1,0,0,0,0,0
179,2,0,0,0,0,0,7,0,1,0,1,0,0,0
180,3,0,0,0,0,0,1,0,0,0,0,0,0,0
181,1,0,0,0,0,0,0,0,2,0,1,0,0,0
182,1,0,0,0,0,0,0,0,1,0,1,0,0,0
183,1,0,0,0,0,0,3,0,0,0,1,0,0,0
184,9,0,0,0,0,0,0,0,2,0,0,0,0,0
185,1,0,0,0,0,0,4,0,1,0,1,0,1,0
186,1,0,0,0,0,0,0,0,0,0,0,0,0,0
187,5,0,0,0,0,0,1,0,0,0,1,0,0,0
188,0,0,0,0,0,0,0,0,2,0,3,0,0,0
189,6,0,0,0,0,0,0,0,1,0,1,0,0,0
190,5,0,0,0,4,0,2,0,0,0,1,0,0,0
191,4,0,0,0,4,0,0,0,2,0,0,0,1,0
192,1,0,0,0,0,0,3,0,0,0,1,0,0,0
193,1,0,0,0,0,0,1,0,0,0,3,0,0,0
194,2,0,0,0,0,0,0,0,1,0,0,0,0,0
195,1,0,0,0,0,0,1,0,0,0,2,0,0,0
196,2,0,0,0,0,0,0,0,1,0,0,0,0,0
197,1,0,0,0,0,0,1,0,0,0,1,0,0,0
198,1,0,0,0,0,0,0,0,1,0,0,0,1,0
199,2,0,0,0,0,0,1,0,0,0,3,0,0,0
200,1,0,0,0,0,0,1,0,0,0,0,0,0,0
201,2,0,0,0,0,0,2,0,1,0,1,0,0,0
202,2,0,0,0,0,0,1,0,0,0,0,0,0,0
203,1,0,0,0,0,0,1,0,0,0,1,0,0,0
204,1,0,0,0,0,0,0,0,0,0,1,0,0,0
205,1,0,0,0,0,0,1,0,0,0,1,0,0,0
206,1,0,0,0,0,0,1,0,0,0,1,0,0,0
207,5,0,0,0,0,0,0,0,0,0,0,0,0,0
208,1,0,0,0,0,0,1,0,0,0,0,0,0,0
209,1,0,0,0,5,0,6,0,0,0,0,0,0,0
210,1,0,0,0,0,0,1,0,0,0,1,0,0,0
211,1,0,0,0,0,0,1,0,0,0,3,0,0,0
212,1,0,0,0,0,0,0,0,1,0,0,0,0,0
213,2,0,0,0,1,0,1,0,0,0,0,0,0,0
214,6,0,0,0,0,0,1,0,0,0,2,0,0,0
215,1,0,0,0,0,0,1,0,0,0,1,0,0,0
216,2,0,0,0,1,0,0,0,1,0,1,0,0,0
217,0,0,0,0,0,0,1,0,0,0,1,0,0,0
218,1,0,0,0,0,0,0,0,0,0,0,0,0,0
219,2,0,0,0,0,0,0,0,0,0,0,0,0,0
220,3,0,0,0,0,0,0,0,0,0,1,0,3,0
221,1,0,0,0,0,0,1,0,0,0,1,0,0,0
222,1,0,0,0,0,0,1,0,0,0,0,0,0,0
223,2,0,0,0,0,0,1,0,0,0,0,0,0,0
224,4,0,0,0,1,0,0,0,1,0,1,0,0,0
225,1,0,0,0,0,0,8,0,0,0,6,0,0,0
226,3,0,0,0,0,0,0,0,1,0,1,0,0,0
227,1,0,0,0,0,0,1,0,0,0,2,0,0,0
228,2,0,0,0,0,0,2,0,4,0,0,0,0,0
229,1,0,0,0,0,0,3,0,0,0,0,0,0,0
230,3,0,0,0,1,0,1,0,0,0,1,0,0,0
231,1,0,0,0,0,0,3,0,0,0,1,0,0,0
232,1,0,0,0,0,0,1,0,1,0,1,0,0,0
233,2,0,0,0,0,0,1,0,0,0,2,0,0,0
234,1,0,0,0,0,0,1,0,0,0,2,0,0,0
235,1,0,0,0,0,0,0,0,0,0,0,0,0,0
236,1,0,0,0,0,0,1,0,0,0,2,0,0,0
237,1,0,0,0,0,0,1,0,0,0,2,0,0,0
238,1,0,0,0,0,0,1,0,0,0,1,0,0,0
239,1,0,0,0,3,0,1,0,0,0,0,0,0,0
240,1,0,0,0,2,0,2,0,0,0,4,0,0,0
241,1,0,0,0,0,0,17,0,0,0,4,0,0,0
242,4,0,0,0,2,0,1,0,0,0,1,0,0,0
243,3,0,0,0,1,0,3,0,0,0,1,0,0,0
244,1,0,0,0,0,0,1,0,0,0,0,0,0,0
245,1,0,0,0,0,0,0,0,1,0,0,0,1,0
246,1,0,0,0,0,0,1,0,0,0,2,0,0,0
247,1,0,0,0,0,0,0,0,2,0,1,0,0,0
248,1,0,0,0,0,0,1,0,0,0,0,0,0,0
249,7,0,0,0,0,0,0,0,5,0,1,0,0,0
250,4,0,0,0,0,0,3,0,0,0,0,0,1,0
251,1,0,0,0,0,0,1,0,0,0,1,0,1,0
252,0,0,0,0,0,0,1,0,0,0,0,0,0,0
253,4,0,0,0,0,0,0,0,1,0,0,0,1,0
254,8,0,0,0,0,0,0,0,2,0,1,0,0,0
255,3,0,0,0,0,0,0,0,0,0,0,0,1,0
256,0,0,0,0,0,0,2,0,0,0,1,0,0,0
257,1,0,0,0,0,0,0,0,1,0,1,0,0,0
258,1,0,0,0,0,0,1,0,0,0,1,0,0,0
259,4,0,0,0,0,0,0,0,0,0,1,0,0,0
260,3,0,0,0,2,0,0,0,0,0,0,0,2,0
261,1,0,0,0,0,0,1,0,0,0,1,0,0,0
262,1,0,0,0,0,0,0,0,0,0,0,0,1,0
263,0,0,0,0,0,0,1,0,0,0,3,0,0,0
264,1,0,0,0,0,0,1,0,0,0,0,0,0,0
265,1,0,0,0,0,0,0,0,1,0,0,0,0,0
266,1,0,0,0,2,0,4,0,0,0,1,0,0,0
267,1,0,0,0,0,0,0,0,1,0,0,0,0,0
268,1,0,0,0,1,0,1,0,0,0,1,0,0,0
269,4,0,0,0,0,0,1,0,0,0,2,0,1,0
270,3,0,0,0,1,0,1,0,1,0,1,0,0,0
271,2,0,0,0,0,0,0,0,1,0,1,0,0,0
272,1,0,0,0,0,0,1,0,0,0,1,0,0,0
273,8,0,0,0,0,0,0,0,1,0,1,0,0,0
